index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,lineID,bulbonline,Universe,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,globalposition_x,globalposition_y,globalposition_z,AmI_0axis_IndicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal,AmI_Xaxis_indicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Yaxis_indicatorLocal
94,-1.1634,9.8023,6.0385,11.3859,2.6695,-2.6695,2,30,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,-1.2300,10.1153,6.1984,11.3859,3.0421,-3.0421,2,31,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,1.3059,0.3492,5.9862,11.3959,2.2262,-2.2262,3,0,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,1.2394,0.6622,5.8456,11.3959,1.9148,-1.9148,3,1,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,1.1729,0.9752,5.7147,11.3959,1.6119,-1.6119,3,2,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,1.1064,1.2882,5.5934,11.3959,1.5307,-1.5307,3,3,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,1.0398,1.6012,5.4818,11.3959,1.6067,-1.6067,3,4,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,0.9733,1.9142,5.3798,11.3959,1.7637,-1.7637,3,5,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,0.9068,2.2272,5.2876,11.3959,1.9922,-1.9922,3,6,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,0.8402,2.5402,5.2053,11.3959,2.2290,-2.2290,3,7,2,0.2696,5.2246,4.8966,1.4096,-0.1387,6.2246,-0.8618,10.5475,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
