ID,Panel,col,row,x 3d,y 3d,to steelwire,to ceiling,to floor,x 2d,y 2d,DMX universe,DMX bk,DMX address,sensor index,deflection_cm,to wall,sequence index,known dmx,known pos,Labels,RackID,DimID,DimPort
134,000-A,6,4,0.050,8.424,0,2.080,4.314,0,0,3,0,7,0,106.2,2.246,22,1,1,row:5|pos:7|dim:1|id:135,0,1,3
135,000-A,7,4,0.116,8.111,0,2.085,4.309,0,0,3,0,8,0,96.7,2.566,21,1,1,row:5|pos:8|dim:1|id:136,0,1,3
136,000-A,8,4,0.183,7.798,0,2.056,4.339,0,0,3,0,9,0,85.0,2.886,20,1,1,row:5|pos:9|dim:1|id:137,0,1,3
137,000-A,9,4,0.249,7.485,0,2.003,4.391,0,0,3,0,10,0,72.1,3.206,19,1,1,row:5|pos:10|dim:1|id:138,0,1,3
138,000-A,10,4,0.316,7.172,0,1.914,4.480,0,0,3,0,11,0,56.7,3.526,18,1,1,row:5|pos:11|dim:1|id:139,0,1,3
139,000-A,11,4,0.382,6.859,0,1.870,4.525,0,0,3,0,12,0,46.9,3.846,17,1,1,row:5|pos:12|dim:1|id:140,0,1,3
140,000-A,12,4,0.449,6.546,0,2.045,4.349,0,0,3,0,13,0,60.3,4.166,16,1,1,row:5|pos:13|dim:1|id:141,0,1,3
141,000-A,13,4,0.515,6.233,0,2.166,4.229,0,0,3,0,14,0,69.3,4.486,15,1,1,row:5|pos:14|dim:1|id:142,0,1,3
142,000-A,14,4,0.582,5.920,0,2.263,4.132,0,0,3,0,15,0,77.1,4.806,14,1,1,row:5|pos:15|dim:1|id:143,0,1,3
143,000-A,15,4,0.648,5.607,0,2.361,4.034,0,0,3,0,16,0,86.1,4.629,13,1,1,row:5|pos:16|dim:1|id:144,0,1,3
144,000-A,16,4,0.715,5.294,0,2.473,3.922,0,0,3,0,17,0,97.7,4.309,12,1,1,row:5|pos:17|dim:1|id:145,0,1,3
145,000-A,17,4,0.781,4.981,0,2.622,3.773,0,0,3,0,18,0,114.2,3.989,11,1,1,row:5|pos:18|dim:1|id:146,0,1,3
146,000-A,18,4,0.848,4.668,0,2.796,3.599,0,0,3,0,19,0,134.2,3.669,10,1,1,row:5|pos:19|dim:1|id:147,0,1,3
147,000-A,19,4,0.914,4.355,0,2.996,3.398,0,0,3,0,20,0,158.1,3.349,9,1,1,row:5|pos:20|dim:1|id:148,0,1,3
148,000-A,20,4,0.981,4.042,0,3.233,3.161,0,0,3,0,21,0,186.8,3.029,8,1,1,row:5|pos:21|dim:1|id:149,0,1,3
149,000-A,21,4,1.048,3.729,0,3.490,2.904,0,0,3,0,22,0,218.6,2.709,7,1,1,row:5|pos:22|dim:1|id:150,0,1,3
150,000-A,22,4,1.114,3.416,0,3.626,2.769,0,0,3,0,23,0,239.4,2.389,6,1,1,row:5|pos:23|dim:1|id:151,0,1,3
151,000-A,23,4,1.181,3.103,0,3.670,2.724,0,0,3,0,24,0,252.3,2.069,5,1,1,row:5|pos:24|dim:1|id:152,0,1,3
152,000-A,24,4,1.247,2.790,0,3.624,2.771,0,0,3,0,25,0,257.1,1.749,4,1,1,row:5|pos:25|dim:1|id:153,0,1,3
153,000-A,25,4,1.314,2.477,0,3.460,2.934,0,0,3,0,26,0,251.5,1.429,3,1,1,row:5|pos:26|dim:1|id:154,0,1,3
154,000-A,26,4,1.380,2.164,0,3.173,3.222,0,0,3,0,27,0,234.6,1.109,2,1,1,row:5|pos:27|dim:1|id:155,0,1,3
155,000-A,27,4,1.447,1.851,0,2.790,3.605,0,0,3,0,28,0,209.3,0.789,1,1,1,row:5|pos:28|dim:1|id:156,0,1,3
156,000-A,28,4,1.513,1.538,0,2.460,3.935,0,0,3,0,29,0,190.4,0.469,0,1,1,row:5|pos:29|dim:1|id:157,0,1,3
157,000-A,0,5,1.854,2.101,0,3.015,3.380,0,0,3,0,30,0,214.1,0.402,0,1,1,row:6|pos:1|dim:1|id:158,0,1,3
158,000-A,1,5,1.787,2.414,0,3.342,3.052,0,0,3,0,31,0,235.8,0.722,1,1,1,row:6|pos:2|dim:1|id:159,0,1,3
